ID;Name;Exercise type;BodyPart;Equipment;muscle_group;secondary_muscles;difficulty;remarks;is_duplicate;exID;Gender;tags;tags_temp;score;type;goal;motion_pattern;additional;popularity_men;popularity_women;summary;philosophy
545013;EZ-bar 21s;Strength;Upper Arms;EZ Barbell;Biceps brachii;Brachialis, Brachioradialis;Intermediate;;;94e8ab8b-a3f7-41d3-8846-f623c1c70d2e;0;"[""tier2"",""isolation"",""hypertrophy"",""plateau_breaker""]";;70;isolation;hypertrophy;;plateau_breaker;70;60;21s curl;lifting
130313;Medicine Ball Chest Push from 3 Point Stance;Strength;Chest;Medicine Ball;Pectoralis major;Triceps brachii, Deltoid anterior, Rectus abdominis;Intermediate;;;658ac6c0-2f93-4da1-be32-d39babc30a5e;0;"[""tier3"",""compound"",""power"",""horizontal_press""]";;55;ballistic;power, coordination;horizontal_press;high_impact;50;45;3-point push;plyometrics, explosives
434813;Abdominal 4 points;Strength;Waist;Body weight;Rectus abdominis;Obliquus externus abdominis, Transversus abdominis, Erector spinae;Intermediate;;;022f86bb-69dc-4ade-bb1f-bc327df9c241;0;"[""tier3"",""isolation"",""endurance"",""stability""]";;1;isometric;stability;plank;beginner_friendly;20;30;4 points;calisthenics
945113;Lying Floor 6 Inch Hold;Strength;Waist;Body weight;Rectus abdominis;Obliquus externus abdominis, Transversus abdominis;Intermediate;;;d9282540-857a-4287-a8c2-90db26f26c47;1;"[""tier2"",""isolation"",""stability"",""core"",""bodyweight""]";;50;isometric;endurance, stability;plank;at_home, beginner_friendly;40;50;6 inch hold;calisthenics
656013;90 to 90 Stretch;Stretching;Stretching;Body weight;Gluteus maximus;Gluteus medius, Piriformis;Beginner;;;bbc2d2e4-b60c-476d-aa27-6eae1bea0a73;2;"[""tier3"",""isolation"",""mobility""]";;1;stretch;mobility;;cool_down;30;40;9 stretch;stretching
409713;Reverse Crunch to Dead Bug;Strength;Waist;Body weight;Rectus abdominis;Transversus abdominis, Obliquus externus abdominis;Intermediate;;;1ed673ba-0ba9-413a-8dfb-28a4f2c068ff;1;"[""tier2"",""compound"",""hypertrophy"",""core"",""stability"",""low_impact""]";;60;isolation;strength, stability;crunch;bodyweight, at_home;50;55;ab combo;calisthenics
621113;Bicycle Crunch;Strength;Waist;Body weight;Rectus abdominis;Obliquus externus abdominis, Iliopsoas;Intermediate;;;43735a8d-0d8b-4116-8fca-3f48a851fa0a;1;"[""tier1"",""compound"",""endurance"",""core""]";;70;compound;strength, endurance;crunch;bodyweight, at_home;70;85;ab crunch;calisthenics
621213;Bicycle Crunch;Strength;Waist;Body weight;Rectus abdominis;Obliquus externus abdominis, Iliopsoas;Intermediate;;;b9c51216-7607-43c6-ae0c-83a0188280fb;2;"[""tier1"",""compound"",""endurance"",""core""]";;70;compound;strength, endurance;crunch;bodyweight, at_home;70;85;ab crunch;calisthenics
520313;Resistance Band Standing Ab Crunch;Strength;Waist;Resistance Band;Rectus abdominis;Obliquus externus abdominis, Erector spinae;Beginner;;;3af20007-f898-4c77-9194-c7e60d9b12ed;0;"[""tier2"",""isolation"",""strength"",""core""]";;65;isolation;core, strength;crunch;low_impact, beginner_friendly;60;70;Ab crunch;lifting
520213;Resistance Band Kneeling Ab Crunch;Strength;Waist;Resistance Band;Rectus abdominis;Obliquus externus abdominis, iliopsoas;Beginner;;;668d854e-4692-42f0-80ba-6c879e8a38e9;0;"[""tier2"",""isolation"",""strength"",""core""]";;55;isolation;strength, hypertrophy;crunch;beginner_friendly, at_home;50;60;ab crunch;lifting
185713;Lever Total Abdominal Crunch;Strength;Waist;Leverage machine;Rectus abdominis;Obliquus externus abdominis, Iliopsoas;Beginner;;;2cb694cb-adf2-461a-b3e9-b56c2e4779a8;0;"[""tier2"",""compound"",""hypertrophy"",""endurance"",""core""]";;70;isolation;strength, hypertrophy;crunch;beginner_friendly;65;70;ab crunch;lifting
675213;Lying Rectus Abdominis Activation Crunch;Strength;Waist;Body weight;Rectus abdominis;Obliquus externus abdominis, Iliopsoas;Beginner;;;79c69e44-9c7b-43b7-9f8b-ea440ed19b8a;2;"[""tier2"",""isolation"",""strength"",""beginner_friendly""]";;70;isolation;strength, hypertrophy;crunch;beginner_friendly, at_home;65;70;ab crunch;lifting, calisthenics
67113;Reverse Crunch;Strength;Waist;Body weight;Rectus abdominis;Obliquus externus abdominis, Iliopsoas;Beginner;;;218b5983-c2c5-4d66-852b-1d97524b2f9a;0;"[""tier1"",""isolation"",""strength"",""core"",""bodyweight""]";;70;isolation;strength, hypertrophy;crunch;bodyweight, at_home;60;65;ab crunch;calisthenics
401913;Reverse Crunch (VERSION 2);Strength;Waist;Body weight;Rectus abdominis;Iliopsoas, Obliquus externus abdominis;Beginner;;;30cca18e-b6a1-4203-8974-12a8a2236d02;0;"[""tier2"",""compound"",""endurance"",""core""]";;70;isolation;strength, hypertrophy;crunch;bodyweight, at_home;60;65;ab crunch;calisthenics
477813;Reverse Crunch (VERSION 3);Strength;Waist;Body weight;Rectus abdominis;Obliquus externus abdominis, Iliopsoas;Intermediate;;;b31be0a2-df90-4364-b8f4-75be2cfb652b;0;"[""tier1"",""isolation"",""strength"",""core""]";;70;isolation;strength, hypertrophy;crunch;bodyweight, at_home;60;65;ab crunch;calisthenics
87213;Reverse Crunch m;Strength;Waist;Body weight;Rectus abdominis;Obliquus externus abdominis, Iliopsoas;Intermediate;;;d0f534f8-747b-4bf8-8fcb-589520d34bf2;0;"[""tier2"",""isolation"",""strength"",""core""]";;70;isolation;strength, hypertrophy;crunch;bodyweight, at_home;60;65;ab crunch;calisthenics
433013;Reverse Crunch Kick;Strength;Waist;Body weight;Rectus abdominis;Obliquus externus abdominis, Iliopsoas;Intermediate;;;acfc9378-7bc4-4a84-9b14-1ef423425dbb;0;"[""tier2"",""compound"",""strength"",""hypertrophy"",""beginner_friendly""]";;65;isolation;strength, hypertrophy;crunch;bodyweight, at_home;55;60;ab kick;calisthenics
445913;Lying Ab Press;Strength;Waist;Body weight;Rectus abdominis;Obliquus externus abdominis, Transversus abdominis;Beginner;;;bd895745-284d-4467-9b2e-bc1083883d5b;1;"[""tier2"",""isolation"",""strength"",""core""]";;40;isolation;strength;crunch;beginner_friendly;50;55;ab press;lifting
446013;Lying Ab Press;Strength;Waist;Body weight;Rectus abdominis;Obliquus externus abdominis, Iliopsoas;Beginner;;;ac59263c-d189-4a28-bc3d-1cd8ddc65904;2;"[""tier2"",""isolation"",""strength"",""core""]";;40;isolation;strength;crunch;beginner_friendly;50;55;ab press;lifting
497813;Ring Kneeling Ab RollOut;Strength;Waist;Suspension;Rectus abdominis;Obliquus externus abdominis, Erector spinae, Transversus abdominis;Intermediate;;;d6d79443-a384-4b9d-90d0-79b0d52b6cc5;0;"[""tier2"",""compound"",""strength"",""core"",""stability""]";;60;compound;strength, stability;plank;bodyweight;65;60;ab rollout;calisthenics
114413;Suspender Standing Ab Rollout;Strength;Waist;Suspension;Rectus abdominis;Obliquus externus abdominis, Erector spinae;Advanced;;;ea1b4c39-a24e-4895-81c9-810a4058ccdd;0;"[""tier3"",""compound"",""stability"",""core""]";;60;compound;strength, stability;plank;bodyweight;55;50;Ab Rollout;calisthenics
931313;Ring Isometric Hold Reverse Ab Rollout;Strength;Waist;Body weight;Rectus abdominis;Obliquus externus abdominis, Erector spinae, Latissimus dorsi;Advanced;;;371cc9c3-9f8b-4f15-9b59-3c42dbca26fe;0;"[""tier3"",""compound"",""strength"",""core"",""plateau_breaker""]";;55;isometric;strength, stability;plank;bodyweight;60;55;ab rollout;calisthenics
482013;Ring Reverse Ab Rollout;Strength;Waist;Body weight;Rectus abdominis;Obliquus externus abdominis, Erector spinae, Deltoid anterior;Advanced;;;944875e6-7721-4859-9bf2-695d45d9793d;0;"[""tier3"",""compound"",""strength"",""core"",""stability""]";;50;compound;strength, stability;plank;bodyweight;40;35;ab rollout;calisthenics
10313;Barbell Standing ab rollout;Strength;Waist;Barbell;Rectus abdominis;Obliquus externus abdominis, Obliquus internus abdominis, Erector spinae;Advanced;Perform a controlled rollout while standing, maintaining core tension and avoiding lumbar hyperextension.;;f9dd517c-ef63-43fa-b198-0eb4801fd68f;0;"[""tier3"",""compound"",""strength"",""stability"",""core""]";;40;isometric;stability, strength;plank;core;35;30;ab rollout;lifting
282613;Barbell Standing ab rollout;Strength;Waist;Barbell;Rectus abdominis;Obliquus externus abdominis, Erector spinae;Advanced;;;f2cd49f5-78d4-464d-ad0c-3c0c9f3d7460;2;"[""tier3"",""compound"",""strength"",""stability"",""core""]";;40;isometric;stability, strength;plank;core;35;30;ab rollout;lifting
210913;Kneeling Abdominal Stretch;Stretching;Waist;Body weight;Rectus abdominis;Obliquus externus abdominis;Beginner;;;5dfbf9a3-abe6-4cf2-9c7d-3c75f9e7ffc7;0;"[""tier3"",""isolation"",""mobility"",""rehab""]";;25;stretch;mobility;;cool_down;35;45;ab stretch;stretching
324413;Abdominal Stretch;Stretching;Waist;Body weight;Rectus abdominis;Obliquus externus abdominis;Beginner;;;6c80f496-6204-4073-b11d-691430c56564;2;"[""tier1"",""isolation"",""mobility"",""rehab""]";;1;stretch;mobility;;cool_down;30;40;ab stretch;stretching
105513;Lying (prone) Abdominal Stretch;Stretching;Waist;Body weight;Rectus abdominis;Obliquus externus abdominis;Beginner;;;8c990ae8-774f-4724-b661-80e71956c46e;0;"[""tier1"",""isolation"",""mobility"",""rehab"",""beginner_friendly""]";;50;stretch;mobility;;beginner_friendly, cool_down;40;45;ab stretch;stretching
116813;Lying (prone) Abdominal Stretch;Stretching;Waist;Body weight;Rectus abdominis;Obliquus externus abdominis, Transversus abdominis;Beginner;;;e491328b-f369-4442-b066-4760388b7e8f;1;"[""tier1"",""isolation"",""mobility"",""rehab"",""beginner_friendly""]";;50;stretch;mobility;;beginner_friendly, cool_down;40;45;ab stretch;stretching
656113;Lever Ab Swing;Strength;Waist;Leverage machine;Rectus abdominis;Obliquus externus abdominis;Intermediate;;;826e09e3-6891-4e98-9db4-02019ced58c3;1;"[""tier3"",""compound"",""strength"",""endurance""]";;50;dynamic;strength, coordination;crunch;plateau_breaker;50;50;ab swing;lifting
603313;Ab Tuck;Strength;Waist;Body weight;Rectus abdominis;Obliquus externus abdominis, Obliquus internus abdominis, Transverse abdominis;Intermediate;;;d799942f-c1aa-4cfc-a369-d79e65a2800f;1;"[""tier2"",""isolation"",""strength"",""core"",""beginner_friendly""]";;70;isolation;strength, endurance;crunch;beginner_friendly;65;75;ab tuck;calisthenics
508513;Standing Ab Twist;Strength;Waist;Body weight;Obliquus externus abdominis;Obliquus internus abdominis, Rectus abdominis, Erector spinae;Intermediate;;;8c623a79-5b6b-434d-997f-257038c21d73;2;"[""tier2"",""compound"",""core"",""rotation""]";;40;isolation;mobility, rotation;rotation;beginner_friendly;50;55;ab twist;core
512613;Standing Ab Twist;Strength;Waist;Body weight;Obliquus externus abdominis;Rectus abdominis, Transverse abdominis;Intermediate;;;fd13858a-64f5-4ca0-871f-30e199505e79;1;"[""tier2"",""compound"",""core"",""rotation""]";;40;isolation;mobility, rotation;rotation;beginner_friendly;50;55;ab twist;core
544513;Standing Abdominal Vacuum;Stretching;Waist;Body weight;Transverse abdominis;Rectus abdominis, Obliquus externus abdominis;Intermediate;;;8fba50ce-c712-4454-a2dd-881879107eeb;2;"[""tier3"",""isolation"",""stability"",""beginner_friendly""]";;35;isometric;stability;;beginner_friendly;45;50;ab vacuum;core
447913;Roll Ball Rectus Abdominis;Stretching;Waist;Rollball;Rectus abdominis;Obliquus externus abdominis;Beginner;;;44dc9a26-5974-4817-95c0-f47394b4b07f;0;"[""tier3"",""isolation"",""mobility"",""rehab""]";;20;stretch;mobility;;low_impact, beginner_friendly, at_home;25;30;Abdominis release;prehab, reha
115913;Suspender Abduction Lunge;Strength;Thighs;Suspension;Quadriceps;Gluteus maximus, Hamstrings;Intermediate;;;c3f89ecd-e88b-4c53-96f1-5a89a41cf83e;0;"[""tier3"",""compound"",""strength"",""lunge"",""stability""]";;50;compound;strength, stability;lunge;bodyweight, plateau_breaker;55;45;abduction lunge;calisthenics
534913;Lever Abduction Leg Raise;Stretching;Hips;Leverage machine;Gluteus medius;Tensor fasciae latae, Gluteus minimus;Beginner;;;4c6d9982-ac31-4fd5-a47d-34897824701e;0;"[""tier2"",""isolation"",""strength"",""hypertrophy""]";;70;isolation;strength, hypertrophy;crunch;beginner_friendly;60;60;abduction raise;lifting
274613;Lever Abduction Squat;Strength;Hips;Leverage machine;Gluteus medius;Gluteus maximus, Quadriceps;Intermediate;;;5304bc84-82d2-45d4-a95e-7ade3b1f0316;2;"[""tier3"",""compound"",""strength"",""squat""]";;70;compound;strength, hypertrophy;squat;beginner_friendly;60;60;abduction squat;lifting
188413;Lying Leg Hang Abductor Stretch;Stretching;Hips;Body weight;Gluteus medius;Tensor fasciae latae, Gluteus minimus;Beginner;;;00cd696f-1437-4c50-8f56-72e695cbd18a;0;"[""tier3"",""mobility"",""rehab""]";;50;stretch;mobility;;at_home, cool_down;40;50;abductor stretch;stretching
188013;Leaning Abductor Stretch;Stretching;Hips;Body weight;Gluteus medius;Tensor fasciae latae, Gluteus minimus;Beginner;;;6214121c-49c2-46c9-8782-3ebd2f2a66f9;0;"[""tier3"",""mobility"",""rehab""]";;30;stretch;mobility;;cool_down;30;40;Abductor Stretch;stretching
187813;Standing Leg Cross Abductor Stretch;Stretching;Hips;Body weight;Gluteus medius;Tensor fasciae latae, Gluteus minimus;Beginner;;;9ca3f84a-304f-4290-84a4-237687795fe9;0;"[""tier3"",""mobility"",""rehab""]";;30;stretch;mobility;;beginner_friendly, at_home;30;40;abductor stretch;stretching
188213;Lying Abductor Stretch;Stretching;Hips;Body weight;Gluteus medius;Tensor fasciae latae;Beginner;;;94e1033e-6273-4777-b08f-0b6900bb3201;0;"[""tier3"",""mobility"",""rehab""]";;50;stretch;mobility;;beginner_friendly, cool_down;40;45;abductor stretch;stretching
188313;Exercise Ball Lying Abductor Stretch;Stretching;Hips;Stability ball;Gluteus medius;Gluteus minimus, Tensor fasciae latae;Beginner;;;6b68ee82-d4be-44d1-aff7-b00de1c33475;0;"[""tier3"",""mobility"",""rehab""]";;30;stretch;mobility;;cool_down, beginner_friendly;40;45;abductor stretch;stretching
188113;Standing Leg Under Abductor Stretch;Stretching;Hips;Body weight;Gluteus medius;Gluteus minimus, Tensor fascia latae;Beginner;;;17c0d757-fc58-4d00-9135-b482e2907387;0;"[""tier3"",""mobility"",""rehab""]";;1;stretch;mobility;;cool_down, beginner_friendly;15;20;abductor stretch;stretching
299913;Resistance Band Standing Back Achilles Stretch;Stretching;Calves;Resistance Band;Gastrocnemius;Soleus;Beginner;;;4dc06ea2-472c-439c-af28-f636702ff91c;0;"[""tier3"",""isolation"",""mobility"",""rehab""]";;50;stretch;mobility, cool_down;;low_impact, at_home;50;60;Achilles stretch;stretching
300013;Resistance Band Standing Forward Achilles Stretch;Stretching;Calves;Resistance Band;Gastrocnemius;Soleus;Beginner;;;7e1c1853-9bbe-4360-b5de-fa389e7e07df;0;"[""tier3"",""isolation"",""mobility"",""rehab""]";;50;stretch;mobility, cool_down;;low_impact, at_home;50;60;Achilles stretch;stretching
210413;Leaning Heel Back Achilles Stretch;Stretching;Calves;Body weight;Gastrocnemius;Soleus;Beginner;;;5d000aae-d366-46d2-a860-0f82221c668b;0;"[""tier3"",""isolation"",""mobility"",""rehab""]";;30;stretch;mobility;;cool_down;30;40;Achilles Stretch;stretching
188913;Sitting Toe Pull Achilles Stretch;Stretching;Calves;Body weight;Gastrocnemius;Soleus;Beginner;;;23bbbb1e-d82b-4876-a416-4bc046678b00;0;"[""tier3"",""mobility"",""rehab""]";;30;stretch;mobility;;cool_down;40;50;achilles stretch;stretching, yoga
188713;Standing Heel Back Achilles Stretch;Stretching;Calves;Body weight;Gastrocnemius;Soleus;Beginner;;;31da4734-a831-4bcb-851e-b33cf91cdeba;0;"[""tier3"",""mobility"",""rehab""]";;30;stretch;mobility;;beginner_friendly, at_home;30;40;achilles stretch;stretching
189213;Kneeling Heel Down Achilles Stretch;Stretching;Calves;Body weight;Gastrocnemius;Soleus;Beginner;;;271103d5-22e8-4a48-9253-986e3474ed93;0;"[""tier3"",""mobility"",""rehab""]";;25;stretch;mobility;;cool_down;30;40;achilles stretch;stretching
189013;Crouching Heel Back Achilles Stretch;Stretching;Calves;Body weight;Gastrocnemius;Soleus;Beginner;;;ceba4e27-463f-4488-8177-b72a80ef3341;0;"[""tier3"",""mobility"",""rehab""]";;40;stretch;mobility;;cool_down, at_home;30;35;achilles stretch;stretching
188813;Standing Achilles Stretch;Stretching;Calves;Body weight;Gastrocnemius;Soleus;Beginner;;;526dcaa5-3c73-424c-9860-dc430ae672fd;0;"[""tier3"",""mobility"",""rehab""]";;20;stretch;mobility;;cool_down;30;35;achilles stretch;stretching
189313;Squatting Achilles Stretch;Stretching;Calves;Body weight;Gastrocnemius;Soleus;Beginner;;;157d5668-466c-445c-a75c-cf12ce4adb7a;0;"[""tier3"",""mobility"",""rehab""]";;15;stretch;mobility;;cool_down;25;30;achilles stretch;stretching
