id;Name;exercise_type;bodyPart;Equipment;muscle_group;secondary_muscles;difficulty;remarks;is_duplicate;exID;Gender;tags;tags_temp;score;type;goal;motion_pattern;additional;popularity_men;popularity_women;summary;philosophy;Video
562;3 4 Sit up Waist;Strength;Waist;Body weight;Rectus abdominis;Obliquus externus abdominis;Beginner;Engage core and avoid pulling on the neck.;;;2;;;40;isolation;strength, endurance;crunch;beginner_friendly;60;70;sit-up;calisthenics;https://www.youtube.com/watch?v=uGK0aUqZvgk
1399;3-4 Sit up Waist;Strength;Waist;Body weight;Rectus abdominis;Obliquus externus abdominis;Beginner;Perform the sit-up with control, engaging the core throughout.;;;0;;;50;compound;core;crunch;beginner_friendly;45;50;sit up;lifting;https://www.youtube.com/watch?v=oDTe-FiT-Pc
897;45 degree Bicycle Twisting Crunch Waist;Strength;Waist;Body weight;Obliquus externus abdominis;Rectus abdominis, Transversus abdominis;Intermediate;Maintain a controlled twist and engage the core for stability.;;;0;;;70;isolation;core, stability;crunch;beginner_friendly;60;65;bicycle crunch;calisthenics;https://www.youtube.com/watch?v=HuBU-s7LRek
984;45 degree hyperextension arms in front of chest Back;Strength;Back;Body weight;Erector spinae;Gluteus maximus, Hamstrings;Intermediate;Keep the back straight and avoid hyperextending the spine.;;;0;;;70;compound;strength, hypertrophy;hinge;plateau_breaker;75;70;Hyperextension;lifting;https://www.youtube.com/watch?v=CuDO_St0zqY
804;45 degree hyperextension arms in front of chest Side view Back;Strength;Back;Body weight;Erector spinae;Gluteus maximus, Hamstrings;Intermediate;Maintain a neutral spine and avoid hyperextending the lower back.;;;0;;;70;compound;strength, hypertrophy;hinge;beginner_friendly;60;55;hyperextension;lifting;https://www.youtube.com/watch?v=sJ17xB3AAYQ
905;45 degree twisting hyperextension Hips;Strength;Hips;Body weight;Erector spinae;Gluteus maximus, Hamstrings;Intermediate;Focus on controlled twisting motion to engage the core and lower back effectively.;;;0;;;50;compound;strength, mobility;hinge;plateau_breaker;55;50;twist hyperextension;lifting;https://www.youtube.com/watch?v=vHdmxFdAVew
574;45 degrees Side Bend Waist;Strength;Waist;Body weight;Obliquus externus abdominis;Rectus abdominis;Beginner;Keep movement controlled and avoid excessive bending.;;;2;;;50;isolation;strength, mobility;;beginner_friendly;55;65;side bend;calisthenics;https://www.youtube.com/watch?v=7kuVlrOoQ-U
1406;45 Side Bend Waist;Strength;Waist;Body weight;Obliquus externus abdominis;Rectus abdominis, Obliquus internus abdominis;Beginner;Perform with a slow and controlled motion to engage the oblique muscles effectively.;;;0;;;55;isolation;mobility, stability;;beginner_friendly;50;65;side bend;calisthenics;https://www.youtube.com/watch?v=0_ErsXKtLlo
122;90 Degree Heel Touch Waist;Strength;Waist;Body weight;Obliques;Rectus abdominis;Beginner;Keep the core engaged and avoid straining the neck.;;;0;;;70;isolation;core;crunch;beginner_friendly;55;75;Heel touch;calisthenics;https://www.youtube.com/watch?v=oVI5PWRo1dg
636;Ab Roller Crunch Waist;Strength;Waist;Wheel roller;Rectus abdominis;Obliquus externus abdominis;Advanced;Maintain a neutral spine and avoid arching the back.;;;0;;;70;compound;strength, stability;plank;plateau_breaker;65;60;ab roller;lifting;https://www.youtube.com/watch?v=b4tPjXwlDaM
